"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAD2410",NA,21
"BOLD:AAD2917",NA,1
"BOLD:AAD2918",NA,10
"BOLD:AAD3166",NA,32
"BOLD:AAD4136",NA,15
"BOLD:AAD4575",NA,2
"BOLD:AAD5719",NA,8
"BOLD:AAE0696",NA,5
"BOLD:AAE0722",NA,5
"BOLD:AAE1017",NA,6
"BOLD:AAE1025",NA,19
"BOLD:AAE2515",NA,9
"BOLD:AAE2519",NA,6
"BOLD:AAE4208",NA,13
"BOLD:AAE6047",NA,7
"BOLD:AAE6049",NA,6
"BOLD:AAE6070",NA,14
"BOLD:AAE7513",NA,11
"BOLD:AAE7918",NA,2
"BOLD:AAE8727",NA,1
"BOLD:AAF1441",NA,4
"BOLD:AAF1442",NA,6
"BOLD:AAF1482",NA,11
"BOLD:AAF2837",NA,1
"BOLD:AAF2838",NA,9
"BOLD:AAF2866",NA,6
"BOLD:AAF4389",NA,6
"BOLD:AAF4398",NA,24
"BOLD:AAF4401",NA,3
"BOLD:AAF4883",NA,3
"BOLD:AAF5595",NA,7
"BOLD:AAF5597",NA,10
"BOLD:AAF7189",NA,7
"BOLD:AAF7846",NA,4
"BOLD:AAG1916",NA,3
"BOLD:AAG1992",NA,6
"BOLD:AAG5779",NA,1
"BOLD:AAH1805",NA,1
"BOLD:AAI3881",NA,4
"BOLD:AAI6404",NA,17
"BOLD:AAI6405",NA,3
"BOLD:AAI6406",NA,1
"BOLD:AAI6408",NA,30
"BOLD:AAI6411",NA,2
"BOLD:AAI6412",NA,2
"BOLD:AAI6464",NA,1
"BOLD:AAI6465",NA,3
"BOLD:AAI6545",NA,2
"BOLD:AAI6547",NA,3
"BOLD:AAI7851",NA,3
"BOLD:AAI7856",NA,3
"BOLD:AAI7858",NA,4
"BOLD:AAI8869",NA,3
"BOLD:AAJ0398",NA,17
"BOLD:AAK1478",NA,5
"BOLD:AAK2995",NA,2
"BOLD:AAL5550",NA,11
"BOLD:AAL5554",NA,3
"BOLD:AAM1720",NA,2
"BOLD:AAN2507",NA,3
"BOLD:AAR4722",NA,7
"BOLD:AAT9021",NA,7
"BOLD:AAT9027",NA,6
"BOLD:AAW3828",NA,3
"BOLD:AAW4030",NA,3
"BOLD:AAW4062",NA,2
"BOLD:AAW4063",NA,1
"BOLD:AAW8190",NA,2
"BOLD:AAW9376",NA,12
"BOLD:AAX4138",NA,1
"BOLD:AAX4140",NA,1
"BOLD:AAX4147",NA,2
"BOLD:AAX4151",NA,2
"BOLD:AAX6769",NA,1
"BOLD:AAY0551",NA,1
"BOLD:AAY0552",NA,1
"BOLD:AAY0555",NA,2
"BOLD:AAY0566",NA,8
"BOLD:AAY0577",NA,1
"BOLD:AAY4743",NA,17
"BOLD:AAY4754",NA,1
"BOLD:AAY5945",NA,12
"BOLD:AAZ6422",NA,1
"BOLD:ABA0307",NA,2
"BOLD:ABA7276",NA,2
"BOLD:ABA7279",NA,19
"BOLD:ABA7474",NA,1
"BOLD:ABA8026",NA,1
"BOLD:ABA8485",NA,1
"BOLD:ABA9268",NA,1
"BOLD:ABU7453",NA,11
"BOLD:ABU7455",NA,1
"BOLD:ABU7461",NA,1
"BOLD:ABU7463",NA,29
"BOLD:ABV0609",NA,4
"BOLD:ABV0631",NA,10
"BOLD:ABV0653",NA,4
"BOLD:ABV0662",NA,2
"BOLD:ABV0677",NA,1
"BOLD:ABV0757",NA,1
"BOLD:ABX0803",NA,2
"BOLD:ABX5184",NA,25
"BOLD:ABX5271",NA,9
"BOLD:ABZ1381",NA,33
"BOLD:ABZ7850",NA,23
"BOLD:ABZ7966",NA,9
"BOLD:ABZ9479",NA,1
"BOLD:ACB1353",NA,1
"BOLD:ACB1374",NA,2
"BOLD:ACB3447",NA,3
"BOLD:ACE7166",NA,2
"BOLD:ACF1273",NA,1
"BOLD:ACF3608",NA,3
"BOLD:ACI2720",NA,1
"BOLD:ACI8846",NA,4
"BOLD:ACJ4167",NA,1
"BOLD:ACJ4258",NA,1
"BOLD:ACK3078",NA,1
"BOLD:ACK4490",NA,3
"BOLD:ACY9793",NA,1
"BOLD:ACZ0151",NA,3
"BOLD:ADB4733",NA,1
"BOLD:ADE1280",NA,1
"BOLD:ADI8539",NA,6
"BOLD:ADJ2448",NA,1
"BOLD:ADJ3225",NA,1
"BOLD:ADM8378",NA,2
"BOLD:ADM8379",NA,2
"BOLD:ADM8380",NA,2
"BOLD:ADQ3831",NA,1
"BOLD:ADY7817",NA,1
"BOLD:ADZ4994",NA,1
"BOLD:AEB3183",NA,1
"BOLD:AEB4674",NA,3
"BOLD:AEB5079",NA,2
"BOLD:AEJ9535",NA,1
"BOLD:AEP1465",NA,1
"BOLD:AFH0564",NA,14
"BOLD:AFH8419",NA,7
"BOLD:AFL1062",NA,1
"BOLD:AGG1856",NA,26
"BOLD:AGG1857",NA,7
"BOLD:AGG1859",NA,1
