BOLD code,Frequency,,,
BOLD:AAI7790,2,,,
BOLD:AAI7795,1,,,
BOLD:AAI7798,2,,,
BOLD:AAI9077,3,,,
BOLD:AAI9740,8,,,
BOLD:AAI9742,2,,,
BOLD:AAI9746,2,,,
BOLD:AAI9747,25,,,
BOLD:AAI9755,6,,,
BOLD:AAI9894,1,,,
BOLD:AAI9895,6,,,
BOLD:AAJ0004,10,,,
BOLD:AAJ1367,4,,,
BOLD:AAJ1368,3,,,
BOLD:AAJ1383,1,,,
BOLD:AAJ1388,3,,,
BOLD:AAJ1389,6,,,
BOLD:AAJ1390,1,,,
BOLD:AAJ1396,3,,,
BOLD:AAJ1398,3,,,
BOLD:AAJ1402,1,,,
BOLD:AAJ1403,2,,,
BOLD:AAJ1445,3,,,
BOLD:AAJ1510,1,,,
BOLD:AAJ1513,1,,,
BOLD:AAJ1514,1,,,
BOLD:AAJ1523,5,,,
BOLD:AAJ1526,2,,,
BOLD:AAJ5709,10,,,
BOLD:AAK0117,3,,,
BOLD:AAK1540,1,,,
BOLD:AAK1559,1,,,
BOLD:AAK1562,1,,,
BOLD:AAK1564,2,,,
BOLD:AAK1566,5,,,
BOLD:AAK1572,1,,,
BOLD:AAK1575,1,,,
BOLD:AAK1628,10,,,
BOLD:AAK1637,4,,,
BOLD:AAK1643,4,,,
BOLD:AAK1645,3,,,
BOLD:AAK1646,2,,,
BOLD:AAK1654,1,,,
BOLD:AAK1683,1,,,
BOLD:AAK1700,4,,,
BOLD:AAK1708,1,,,
BOLD:AAK1709,3,,,
BOLD:AAK1714,1,,,
BOLD:AAK1715,3,,,
BOLD:AAK1717,1,,,
BOLD:AAK1721,1,,,
BOLD:AAK1722,2,,,
BOLD:AAK1725,1,,,
BOLD:AAK2074,1,,,
BOLD:AAK2114,2,,,
BOLD:AAK2115,1,,,
BOLD:AAK2125,1,,,
BOLD:AAK3030,1,,,
BOLD:AAK3032,2,,,
BOLD:AAK7552,1,,,
BOLD:AAK9345,2,,,
BOLD:AAK9737,23,,,
BOLD:AAK9744,2,,,
BOLD:AAL1022,3,,,
BOLD:AAL2271,1,,,
BOLD:AAL2277,1,,,
BOLD:AAL2287,4,,,
BOLD:AAL2297,1,,,
BOLD:AAL3393,2,,,
BOLD:AAL3409,4,,,
BOLD:AAL3594,1,,,
BOLD:AAL3667,2,,,
BOLD:AAL3669,2,,,
BOLD:AAL3671,1,,,
BOLD:AAL3674,1,,,
BOLD:AAL3681,1,,,
BOLD:AAL3684,1,,,
BOLD:AAM1048,1,,,
BOLD:AAM1056,2,,,
BOLD:AAM1064,1,,,
BOLD:AAM1086,1,,,
BOLD:AAM1089,1,,,
BOLD:AAM1108,2,,,
BOLD:AAM5088,1,,,
BOLD:AAM5149,2,,,
BOLD:AAM5150,4,,,
BOLD:AAM5151,5,,,
BOLD:AAM5222,10,,,
BOLD:AAM5223,1,,,
BOLD:AAM5224,4,,,
BOLD:AAM5225,1,,,
BOLD:AAM5226,1,,,
BOLD:AAM5227,1,,,
BOLD:AAM5228,1,,,
BOLD:AAM5229,11,,,
BOLD:AAM5230,4,,,
BOLD:AAM5231,2,,,
BOLD:AAM5267,1,,,
BOLD:AAM5381,3,,,
BOLD:AAM5382,3,,,
BOLD:AAM5432,1,,,
BOLD:AAM5630,6,,,
BOLD:AAM5735,1,,,
BOLD:AAM5736,7,,,
BOLD:AAM5737,4,,,
BOLD:AAM5738,1,,,
BOLD:AAM5739,1,,,
BOLD:AAM5740,1,,,
BOLD:AAM5741,3,,,
BOLD:AAM5742,1,,,
BOLD:AAM5743,7,,,
BOLD:AAM5744,1,,,
BOLD:AAM5745,1,,,
BOLD:AAM5746,4,,,
BOLD:AAM5747,1,,,
BOLD:AAM5748,2,,,
BOLD:AAM5749,2,,,
BOLD:AAM5750,1,,,
BOLD:AAM5751,7,,,
BOLD:AAM5752,1,,,
BOLD:AAM5753,1,,,
BOLD:AAM5842,326,,,
BOLD:AAM5843,2,,,
BOLD:AAM5844,1,,,
BOLD:AAM5845,1,,,
BOLD:AAM5846,1,,,
BOLD:AAM5847,5,,,
BOLD:AAM5848,1,,,
BOLD:AAM5849,1,,,
BOLD:AAM5850,1,,,
BOLD:AAM5851,12,,,
BOLD:AAM5852,1,,,
BOLD:AAM5853,2,,,
BOLD:AAM5956,4,,,
BOLD:AAM5983,10,,,
BOLD:AAM6962,2,,,
BOLD:AAM9443,6,,,
BOLD:AAM9535,3,,,
BOLD:AAM9536,1,,,
BOLD:AAM9537,2,,,
BOLD:AAM9538,1,,,
BOLD:AAM9539,1,,,
BOLD:AAM9540,1,,,
BOLD:AAM9541,3,,,
BOLD:AAM9542,1,,,
BOLD:AAM9543,1,,,
BOLD:AAM9559,1,,,
BOLD:AAN1872,12,,,
BOLD:AAN7915,47,,,
BOLD:AAN9770,1,,,
BOLD:AAR9046,1,,,
BOLD:AAV2052,1,,,
BOLD:AAW0422,4,,,
BOLD:AAW4505,1,,,
BOLD:AAW5194,1,,,
BOLD:AAW5675,1,,,
BOLD:AAW7463,1,,,
BOLD:AAX1134,1,,,
BOLD:AAX1139,1,,,
BOLD:AAX1179,1,,,
BOLD:AAX1180,1,,,
BOLD:AAX2065,1,,,
BOLD:AAX2082,3,,,
BOLD:AAX2083,2,,,
BOLD:AAX2085,1,,,
BOLD:AAX2124,1,,,
BOLD:AAX2162,1,,,
BOLD:AAX2165,1,,,
BOLD:AAX2166,2,,,
BOLD:AAX2167,1,,,
BOLD:AAX7726,1,,,
BOLD:AAX8342,2,,,
BOLD:AAX8356,2,,,
BOLD:AAX8357,1,,,
BOLD:AAX8358,1,,,
BOLD:AAX8359,1,,,
BOLD:AAX8650,1,,,
BOLD:AAX8653,3,,,
BOLD:AAX8657,2,,,
BOLD:AAX8658,1,,,
BOLD:AAX8664,1,,,
BOLD:AAX8739,18,,,
BOLD:AAX8740,1,,,
BOLD:AAX8844,1,,,
BOLD:AAX9658,1,,,
BOLD:AAX9660,1,,,
BOLD:AAX9668,2,,,
BOLD:AAX9671,1,,,
BOLD:AAX9674,1,,,
BOLD:AAX9683,1,,,
BOLD:AAX9686,1,,,
BOLD:AAY0713,1,,,
BOLD:AAY0717,1,,,
BOLD:AAY0746,1,,,
BOLD:AAY0763,2,,,
BOLD:AAY0766,1,,,
BOLD:AAY0767,1,,,
BOLD:AAY0768,1,,,
BOLD:AAY0769,1,,,
BOLD:AAY0770,2,,,
BOLD:AAY1040,237,,,
BOLD:AAY1042,1,,,
BOLD:AAY4689,1,,,
BOLD:AAY4695,1,,,
BOLD:AAZ6842,1,,,
BOLD:ABA0192,1,,,
BOLD:ABA3469,1,,,
BOLD:ABA7252,1,,,
BOLD:ABA7260,1,,,
BOLD:ABA7271,1,,,
BOLD:ABU7420,1,,,
BOLD:ABU7421,2,,,
BOLD:ABW5846,1,,,
BOLD:ABX5072,1,,,
BOLD:ABX5195,30,,,
BOLD:ABX5649,3,,,
BOLD:ABX5680,1,,,
BOLD:ABX5732,3,,,
BOLD:ABX5812,26,,,
BOLD:ABX5833,1,,,
BOLD:ABX5981,11,,,
BOLD:ABX5984,1,,,
BOLD:ABX6003,3,,,
BOLD:ABX6174,2,,,
BOLD:ABX6267,22,,,
BOLD:ABX6466,1,,,
BOLD:ABX6539,1,,,
BOLD:ABX6745,1,,,
BOLD:ABX9145,1,,,
