Core,,Reared,,
BIN,count,BIN,count,
BOLD:ADB0948,28,BOLD:AAA5869,70,
BOLD:AEE6736,1,BOLD:AAA7060,1,
,,BOLD:AAW1602,1,
,,BOLD:ACM4427,1,
,,BOLD:ACM4428,3,
,,BOLD:ADX4277,4,
,,BOLD:AFH1905,1,
,,BOLD:AFI7150,1,
