,uri,lat,lon,code
107,BOLD:AAA7225,10.8606,-85.3791,ASMG
108,BOLD:AAA7225,10.86069,-85.42558,ACGBA
109,BOLD:AAE3597,10.8607,-85.4256,ACGAZ
110,BOLD:AAA7143,10.8608,-85.6083,ASMG
111,BOLD:AAA3684,10.8628,-85.3846,ASMG
112,BOLD:AAA9772,10.8633,-85.5744,ASMG
113,BOLD:AAB4123,10.8634,-85.7253,ASMG
114,BOLD:AAT9681,10.86472,-85.41531,ACGAZ
115,BOLD:AAB1086,10.86546,-85.39694,ACGBA
116,BOLD:AAB2976,10.8655,-85.3969,ACGBA
117,BOLD:AAC1914,10.8656,-85.3956,ASMG
118,BOLD:AAA3229,10.86666,-85.24528,ACGBA
119,BOLD:AAB7535,10.8667,-85.2453,ASMGJ
120,BOLD:ABX6007,10.8668,-85.6465,ASMGJ
121,BOLD:ACC1510,10.8674,-85.3874,ACGAZ
122,BOLD:AAA2511,10.8688,-85.3934,ASMGJ
123,BOLD:AAB1086,10.8702,-85.39153,ACGBA
124,BOLD:ACE8120,10.8708,-85.6053,ASMG
125,BOLD:AAA3684,10.87097,-85.39144,ACGBA
126,BOLD:AAA7129,10.871,-85.3914,ASMG
127,BOLD:ABX5615,10.8712,-85.3875,ACGAZ
128,BOLD:ACE4337,10.87124,-85.38749,ACGBA
129,BOLD:ACF0511,10.8716,-85.3933,ASMGJ
130,BOLD:AAD8952,10.87161,-85.39333,ACGBA
131,BOLD:ABZ7710,10.8725,-85.3793,ASMGJ
132,BOLD:AAA3684,10.873,-85.3814,ASMG
133,BOLD:ACF0511,10.8733,-85.6067,ASMGJ
134,BOLD:AAA9772,10.8734,-85.6265,ASMG
135,BOLD:AAA7376,10.8762,-85.3863,ASMGJ
136,BOLD:ABZ7986,10.87621,-85.38632,ACGBA
137,BOLD:AAF8104,10.8765,-85.5861,ASMG
138,BOLD:ACE8120,10.877,-85.2308,ASMG
139,BOLD:AAC3187,10.87703,-85.23077,ACGBA
140,BOLD:AAC3187,10.8774,-85.3236,ACGAZ
141,BOLD:AAC3187,10.87741,-85.32363,ACGBA
142,BOLD:ABA7270,10.87766,-85.39343,ACGBA
143,BOLD:AAM1073,10.8777,-85.3934,ACGAZ
144,BOLD:AAD4555,10.8781,-85.5835,ASMG
145,BOLD:AAA7129,10.87868,-85.38963,ACGBA
146,BOLD:ACC4119,10.8787,-85.3896,ACGAZ
147,BOLD:AAY4690,10.8794,-85.3861,ACGAZ
148,BOLD:AAA7143,10.88009,-85.38887,ACGBA
149,BOLD:AAC7396,10.8801,-85.3889,ACGBA
150,BOLD:AAA9150,10.88068,-85.26968,ACGBA
151,BOLD:ABY6628,10.8807,-85.2697,ACGBA
152,BOLD:AAC1190,10.8811,-85.3889,ACGBA
153,BOLD:ABY3502,10.88111,-85.38889,ACGBA
154,BOLD:ACB1515,10.88186,-85.38221,ACGBA
155,BOLD:ACF0511,10.8819,-85.3822,ASMGJ
156,BOLD:ABX6007,10.8822,-85.6914,ASMGJ
157,BOLD:AAE9335,10.8826,-85.2516,ASMG
158,BOLD:AAA3684,10.8829,-85.4745,ASMG
159,BOLD:AAK1705,10.8835,-85.4097,ASMG
160,BOLD:ACM2107,10.88353,-85.32675,ACGBA
161,BOLD:ABU7426,10.88367,-85.29081,ACGAZ
162,BOLD:AAC1151,10.884,-85.386,ASMG
163,BOLD:ABX6174,10.88409,-85.25728,ACGBA
164,BOLD:ABU7426,10.8841,-85.2573,ACGBA
165,BOLD:AAD8952,10.8849,-85.472,ASMGJ
166,BOLD:AAB4524,10.8857,-85.4818,ASMG
167,BOLD:AAH2837,10.8858,-85.4922,ACGBA
168,BOLD:AAA3229,10.88585,-85.49222,ACGBA
169,BOLD:AAY0742,10.887,-85.47443,ACGBA
170,BOLD:AAB9928,10.8882,-85.3206,ASMGJ
171,BOLD:AAA7143,10.8884,-85.259,ACGBA
172,BOLD:AAF8017,10.8888,-85.4348,ASMGJ
173,BOLD:AAA2511,10.8892,-85.4761,ASMGJ
174,BOLD:AAB2664,10.8899,-85.4743,ASMG
175,BOLD:ABX5251,10.88996,-85.47966,ACGBA
176,BOLD:AAT8841,10.89,-85.4797,ACGBA
177,BOLD:ABX6007,10.8901,-85.6746,ASMGJ
178,BOLD:AAA9150,10.8902,-85.388,ACGBA
179,BOLD:AAC2073,10.89021,-85.38803,ACGBA
180,BOLD:AAA7143,10.8904,-85.2693,ASMG
181,BOLD:ABX5195,10.89044,-85.26935,ACGBA
182,BOLD:ACF3142,10.8908,-85.4719,ACGBA
